IDRC Kenya,,Project: ,,,,,,,,,
09-May-2019,,Created : ,,,,,,,,,
Process ID,Sample ID,Sample ID,Order,Genus,Species,Subspecies,Country/Ocean,Exact Site,Lat,Lon,Elev
KALG130-10,CM42-130,CM42-130,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.26,39.599,
KALG131-10,GB53-131,GB53-131,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.429,39.512,
KALG132-10,GB53-132,GB53-132,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.429,39.512,
KALG133-10,GB53-133,GB53-133,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.429,39.512,
KALG134-10,GB53-134,GB53-134,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.429,39.512,
KALG135-10,GB53-135,GB53-135,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-4.429,39.512,
KALG166-10,VG102-166,VG102-166,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-3.225,40.13,
KALG167-10,VG102-167,VG102-167,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-3.225,40.13,
KALG168-10,VG102-168,VG102-168,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-3.225,40.13,
KALG169-10,VG102-169,VG102-169,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-3.225,40.13,
KALG170-10,VG102-170,VG102-170,Gracilariales,Gracilaria,Gracilaria corticata,,Kenya,,-3.225,40.13,
KALG034-10,FJ11-034,FJ11-034,Gracilariales,Gracilaria,Gracilaria crassa,,Kenya,,-4.26,39.599,
KALG035-10,FJ11-035,FJ11-035,Gracilariales,Gracilaria,Gracilaria crassa,,Kenya,,-4.26,39.599,
KALG031-10,FJ11-031,FJ11-031,Gracilariales,Gracilaria,Gracilaria crassa,,Kenya,,-4.26,39.599,
KALG032-10,FJ11-032,FJ11-032,Gracilariales,Gracilaria,Gracilaria crassa,,Kenya,,-4.26,39.599,
KALG033-10,FJ11-033,FJ11-033,Gracilariales,Gracilaria,Gracilaria crassa,,Kenya,,-4.26,39.599,
KALG123-10,CM40-123,CM40-123,Gracilariales,Gracilaria,Gracilaria millardetii,,Kenya,,-4.26,39.599,
KALG122-10,CM40-122,CM40-122,Gracilariales,Gracilaria,Gracilaria millardetii,,Kenya,,-4.26,39.599,
KALG125-10,CM40-125,CM40-125,Gracilariales,Gracilaria,Gracilaria millardetii,,Kenya,,-4.26,39.599,
KALG124-10,CM40-124,CM40-124,Gracilariales,Gracilaria,Gracilaria millardetii,,Kenya,,-4.26,39.599,
KALG121-10,CM40-121,CM40-121,Gracilariales,Gracilaria,Gracilaria millardetii,,Kenya,,-4.26,39.599,
KALG016-10,FJ9-026,FJ9-026,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG090-10,CM33-090,CM33-090,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG179-10,VG109-179,VG109-179,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.225,40.13,
KALG180-10,VG109-180,VG109-180,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-3.225,40.13,
KALG086-10,CM33-086,CM33-086,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG087-10,CM33-087,CM33-087,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG088-10,CM33-088,CM33-088,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.26,39.599,
KALG136-10,GB54-136,GB54-136,Gracilariales,Gracilaria,Gracilaria salicornia,,Kenya,,-4.429,39.512,
